target_lang,aux_lang,limit,auc,f1
italian,german,1000,0.873639495732519,0.398921832884097
greek,german,1000,0.74243245032714,0.008403361344538
estonian,german,1000,0.629616820222065,0
danish,german,1000,0.74243245032714,0.008403361344538
albanian,german,1000,0.74243245032714,0.008403361344538
arabic,german,1000,0.741198645453965,0
english,german,1000,0.873639495732519,0.398921832884097
russian,german,1000,0.816579524371732,0.469135802469136
chinese,german,1000,0.74243245032714,0.008403361344538
estonian,-,1000,0.629695724072762,0
hindi,estonian,1000,0.85261379447426,0
surzhyk,estonian,1000,0.803646723646724,0.581818181818182
turkish,estonian,1000,0.747702197583922,0.243632336655592
portuguese,estonian,1000,0.85261379447426,0
latvian,estonian,1000,0.621236790298449,0
italian,estonian,1000,0.85261379447426,0
greek,estonian,1000,0.747702197583922,0.243632336655592
german,estonian,1000,0.747702197583922,0.243632336655592
danish,estonian,1000,0.747702197583922,0.243632336655592
albanian,estonian,1000,0.747702197583922,0.243632336655592
arabic,estonian,1000,0.765478244201648,0.470588235294118
english,estonian,1000,0.85261379447426,0
russian,estonian,1000,0.742789677854613,0.04
chinese,estonian,1000,0.747702197583922,0.243632336655592
danish,-,1000,0.736912407631453,0
hindi,danish,1000,0.873639495732519,0.398921832884097
surzhyk,danish,1000,0.835099715099715,0.614173228346457
turkish,danish,1000,0.74243245032714,0.008403361344538
portuguese,danish,1000,0.873639495732519,0.398921832884097
latvian,danish,1000,0.629616820222065,0
italian,danish,1000,0.873639495732519,0.398921832884097
greek,danish,1000,0.74243245032714,0.008403361344538
german,danish,1000,0.74243245032714,0.008403361344538
estonian,danish,1000,0.629616820222065,0
albanian,danish,1000,0.74243245032714,0.008403361344538
arabic,danish,1000,0.741198645453965,0
english,danish,1000,0.873639495732519,0.398921832884097
russian,danish,1000,0.816579524371732,0.469135802469136
chinese,danish,1000,0.74243245032714,0.008403361344538
albanian,-,1000,0.736912407631453,0
hindi,albanian,1000,0.873639495732519,0.398921832884097
surzhyk,albanian,1000,0.835099715099715,0.614173228346457
turkish,albanian,1000,0.74243245032714,0.008403361344538
portuguese,albanian,1000,0.873639495732519,0.398921832884097
latvian,albanian,1000,0.629616820222065,0
italian,albanian,1000,0.873639495732519,0.398921832884097
greek,albanian,1000,0.74243245032714,0.008403361344538
german,albanian,1000,0.74243245032714,0.008403361344538
estonian,albanian,1000,0.629616820222065,0
danish,albanian,1000,0.74243245032714,0.008403361344538
arabic,albanian,1000,0.741198645453965,0
english,albanian,1000,0.873639495732519,0.398921832884097
russian,albanian,1000,0.816579524371732,0.469135802469136
chinese,albanian,1000,0.74243245032714,0.008403361344538
arabic,-,1000,0.745463548655038,0.066666666666667
hindi,arabic,1000,0.862979828096107,0.260869565217391
surzhyk,arabic,1000,0.824615384615385,0.537037037037037
turkish,arabic,1000,0.742326613979226,0.208715596330275
portuguese,arabic,1000,0.862979828096107,0.260869565217391
latvian,arabic,1000,0.64536388692023,0.022929936305733
italian,arabic,1000,0.862979828096107,0.260869565217391
greek,arabic,1000,0.742326613979226,0.208715596330275
german,arabic,1000,0.742326613979226,0.208715596330275
estonian,arabic,1000,0.64536388692023,0.022929936305733
danish,arabic,1000,0.742326613979226,0.208715596330275
albanian,arabic,1000,0.742326613979226,0.208715596330275
english,arabic,1000,0.862979828096107,0.260869565217391
russian,arabic,1000,0.753331084499916,0.426666666666667
chinese,arabic,1000,0.742326613979226,0.208715596330275
english,-,1000,0.863533968185131,0.086614173228347
hindi,english,1000,0.850093059395385,0.278481012658228
surzhyk,english,1000,0.832022792022792,0.666666666666667
turkish,english,1000,0.783496451723578,0.412241224122412
portuguese,english,1000,0.850093059395385,0.278481012658228
latvian,english,1000,0.607683754626348,0
italian,english,1000,0.850093059395385,0.278481012658228
greek,english,1000,0.783496451723578,0.412241224122412
german,english,1000,0.783496451723578,0.412241224122412
estonian,english,1000,0.607683754626348,0
danish,english,1000,0.783496451723578,0.412241224122412
albanian,english,1000,0.783496451723578,0.412241224122412
arabic,english,1000,0.759216663471982,0.198830409356725
russian,english,1000,0.792207792207792,0.48936170212766
chinese,english,1000,0.783496451723578,0.412241224122412
russian,-,1000,0.82172373081464,0.405797101449275
hindi,russian,1000,0.875502189455678,0.483516483516483
